Task,Metric,Score
Question Answering,Exact Match,0.006567164179104477
Question Answering,Token F1,0.4377506287424903
Sentiment Classification,Accuracy,0.46507462686567164
Sentiment Classification,Precision (Macro),0.4682095424931753
Sentiment Classification,Recall (Macro),0.47794421454152175
Sentiment Classification,F1 (Macro),0.40968034337698284
Topic Detection,Accuracy,0.2662686567164179
Topic Detection,Macro-F1,0.24399725123324
Topic Detection,Micro-F1,0.2662686567164179
