Task,Metric,Score
Question Answering,Exact Match,0.0034285714285714284
Question Answering,Token F1,0.3970245227070005
Sentiment Classification,Accuracy,0.4604285714285714
Sentiment Classification,Precision (Macro),0.4793478755246901
Sentiment Classification,Recall (Macro),0.5003096547207385
Sentiment Classification,F1 (Macro),0.43592586458302884
Topic Detection,Accuracy,0.34314285714285714
Topic Detection,Macro-F1,0.3065730750129302
Topic Detection,Micro-F1,0.34314285714285714
