Task,Metric,Score
Question Answering,Exact Match,0.0005970149253731343
Question Answering,Token F1,0.46844598635205703
Sentiment Classification,Accuracy,0.35582089552238805
Sentiment Classification,Precision (Macro),0.4782402802551388
Sentiment Classification,Recall (Macro),0.48674375626640015
Sentiment Classification,F1 (Macro),0.35435460520086676
Topic Detection,Accuracy,0.4925373134328358
Topic Detection,Macro-F1,0.3993533873338995
Topic Detection,Micro-F1,0.4925373134328358
