Task,Metric,Score
Question Answering,Exact Match,0.04298507462686567
Question Answering,Token F1,0.657515649345032
Sentiment Classification,Accuracy,0.4841791044776119
Sentiment Classification,Precision (Macro),0.44197894016484435
Sentiment Classification,Recall (Macro),0.4879973760055061
Sentiment Classification,F1 (Macro),0.4323790886557075
Topic Detection,Accuracy,0.2316417910447761
Topic Detection,Macro-F1,0.28478792694446375
Topic Detection,Micro-F1,0.2316417910447761
