Task,Metric,Score
Question Answering,Exact Match,0.02626865671641791
Question Answering,Token F1,0.599081247193823
Sentiment Classification,Accuracy,0.4525373134328358
Sentiment Classification,Precision (Macro),0.4519984403718702
Sentiment Classification,Recall (Macro),0.47655826558265585
Sentiment Classification,F1 (Macro),0.4125152499865255
Topic Detection,Accuracy,0.24238805970149255
Topic Detection,Macro-F1,0.285698910519834
Topic Detection,Micro-F1,0.24238805970149255
