Task,Metric,Score
Question Answering,Exact Match,0.010149253731343283
Question Answering,Token F1,0.520377460805482
Sentiment Classification,Accuracy,0.29850746268656714
Sentiment Classification,Precision (Macro),0.48148173019241275
Sentiment Classification,Recall (Macro),0.4515952495756657
Sentiment Classification,F1 (Macro),0.3104160971244126
Topic Detection,Accuracy,0.5480597014925374
Topic Detection,Macro-F1,0.4517302342581399
Topic Detection,Micro-F1,0.5480597014925374
